"","Pathogen","Disease","Agegroup","Source","CostCategory","median","5%","95%"
"220","Listeria monocytogenes","Initial","<5","Molluscs","TotalHumanCapital",478034.459659024,22631.4217091985,1972378.18127492
"221","Listeria monocytogenes","Initial","<5","Nuts","TotalHumanCapital",0,0,0
"222","Listeria monocytogenes","Initial","<5","Other","TotalHumanCapital",0,0,0
"223","Listeria monocytogenes","Initial","<5","Pork","TotalHumanCapital",1415072.71876501,41169.6464152364,5425780.8867106
"224","Listeria monocytogenes","Initial","<5","Poultry","TotalHumanCapital",486173.16498159,7617.27040454975,3077203.73424304
"225","Listeria monocytogenes","Initial","<5","Vegetables","TotalHumanCapital",3335663.89021128,983262.079276102,8407523.66261464
"226","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","AllFood","TotalHumanCapital",10540334.698029,5607069.12562443,19420092.1409764
"227","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Beef","TotalHumanCapital",628695.361125745,97423.5628216648,2687822.92013622
"228","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Crustaceans","TotalHumanCapital",23624.6892923044,0.270098672463388,804673.771816668
"229","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Dairy","TotalHumanCapital",420952.868638343,12875.650221323,3133732.59611669
"230","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Eggs","TotalHumanCapital",2167576.69747274,217953.395330305,7457024.27775245
"231","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Finfish","TotalHumanCapital",109667.85278156,219.205204130446,776700.549764057
"232","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Fruit","TotalHumanCapital",506760.613802668,41869.8321223675,2351094.18433157
"233","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Grains and seeds","TotalHumanCapital",431902.401339651,8273.98282759747,2972249.62510652
"234","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Lamb","TotalHumanCapital",312242.840317131,43381.4904909931,1973223.78231305
"235","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Molluscs","TotalHumanCapital",126381.372086524,193.385568210305,896660.285922214
"236","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Nuts","TotalHumanCapital",215956.429928061,4543.09506498038,1682824.80203576
"237","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Other","TotalHumanCapital",122789.342511383,408.113944190771,997303.626386268
"238","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Pork","TotalHumanCapital",447805.903481312,48338.7848241306,2429020.91173676
"239","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Poultry","TotalHumanCapital",2242921.31635149,321502.955701517,7152732.42123326
"240","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Vegetables","TotalHumanCapital",2600045.2421106,338185.180848229,7585762.00148479
"241","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","AllFood","TotalHumanCapital",2137248.05856934,1113137.57353528,4015204.91713055
"242","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Beef","TotalHumanCapital",127752.814105653,19630.7616884101,551572.986020702
"243","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Crustaceans","TotalHumanCapital",4842.93806259736,0.0579402787099935,165098.140722622
