"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"155","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Beef",46.0734302203041,21.6263980532306,95.4590280477394
"156","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Dairy",8.39137210623863,4.06271728708572,16.8155997488018
"157","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Eggs",276.433460814381,139.592729703631,533.162049306057
"158","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Fin fish",0.903043170227885,0.438932464161553,1.80926461007963
"159","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Fruit",18.6926899878106,8.0335850842525,40.8032826012408
"160","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Lamb",37.7351989755369,17.32053371662,79.1746565610325
"161","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Nuts",30.9427593600837,13.1785601108199,68.8345750985649
"162","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Other",13.1086698755738,6.60271047070111,25.5749248787134
"163","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Pork",65.8839724359406,30.0457624092642,138.551709121119
"164","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Poultry",179.173640405516,84.6765988805517,368.151579038633
"165","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Seeds and grains",11.7651842259157,5.75391073310405,23.2552867409775
"166","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Shellfish",2.25509986327571,1.05472153224407,4.6582945766377
"167","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Vegetables",62.3015663878897,31.8957821453006,119.903092294663
"168","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","AllFood",759.609317249786,413.67860075081,1364.86734379794
"169","Cases","Norovirus","Initial","<5","Beef",0,0,0
"170","Cases","Norovirus","Initial","<5","Dairy",0,0,0
"171","Cases","Norovirus","Initial","<5","Eggs",0,0,0
"172","Cases","Norovirus","Initial","<5","Fin fish",79.5747043305557,20.999344800212,182.775392385057
"173","Cases","Norovirus","Initial","<5","Fruit",1412.15252177744,364.732821408249,3366.96821013357
"174","Cases","Norovirus","Initial","<5","Lamb",0,0,0
"175","Cases","Norovirus","Initial","<5","Nuts",0,0,0
"176","Cases","Norovirus","Initial","<5","Other",1452.26094313698,389.616752593409,3171.9850495966
"177","Cases","Norovirus","Initial","<5","Pork",0,0,0
"178","Cases","Norovirus","Initial","<5","Poultry",0,0,0
"179","Cases","Norovirus","Initial","<5","Seeds and grains",0,0,0
"180","Cases","Norovirus","Initial","<5","Shellfish",14005.0674729293,3831.7821250949,28674.1730395637
"181","Cases","Norovirus","Initial","<5","Vegetables",2674.60196086607,705.147976905348,6058.43537832352
"182","Cases","Norovirus","Initial","<5","AllFood",20250.321570847,5536.28188460695,41444.374055031
"183","Cases","Norovirus","Initial","5-64","Beef",0,0,0
"184","Cases","Norovirus","Initial","5-64","Dairy",0,0,0
"185","Cases","Norovirus","Initial","5-64","Eggs",0,0,0
"186","Cases","Norovirus","Initial","5-64","Fin fish",1003.26998162645,264.75765696042,2304.41402330803
"187","Cases","Norovirus","Initial","5-64","Fruit",17804.2789664927,4598.51524565835,42450.4013271016
"188","Cases","Norovirus","Initial","5-64","Lamb",0,0,0
"189","Cases","Norovirus","Initial","5-64","Nuts",0,0,0
"190","Cases","Norovirus","Initial","5-64","Other",18309.9619658702,4912.24938256728,39992.0729734482
"191","Cases","Norovirus","Initial","5-64","Pork",0,0,0
"192","Cases","Norovirus","Initial","5-64","Poultry",0,0,0
"193","Cases","Norovirus","Initial","5-64","Seeds and grains",0,0,0
