"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"575","STEC","5-64","All Diseases","HumanCapital",870470.535278981,399732.931480598,1995787.13954035
"576","STEC","5-64","All Diseases","WTP",367386.242208037,166724.96578865,837064.320321861
"577","STEC","5-64","HUS","Deaths",5764739.67204692,2746762.73693078,11308424.5784436
"578","STEC","5-64","HUS","Direct",319938.770150262,133381.60514647,819099.248766809
"579","STEC","5-64","HUS","FrictionHigh",223540.039934727,93767.4205084342,576246.204735774
"580","STEC","5-64","HUS","FrictionLow",83827.5149755227,35162.7826906628,216092.326775915
"581","STEC","5-64","HUS","HumanCapital",279425.049918409,117209.275635543,720307.755919718
"582","STEC","5-64","HUS","WTP",124492.48717573,49338.0751441102,317845.852118952
"583","STEC","5-64","STEC","Deaths",154462.054096404,858.330946969799,1485702.88210007
"584","STEC","5-64","STEC","Direct",175790.294082956,108103.005411868,337829.737810461
"585","STEC","5-64","STEC","FrictionHigh",466688.116643036,213167.956788234,1058947.73875046
"586","STEC","5-64","STEC","FrictionLow",175008.043741138,79937.9837955878,397105.402031421
"587","STEC","5-64","STEC","HumanCapital",583360.145803795,266459.945985293,1323684.67343807
"588","STEC","5-64","STEC","WTP",242626.822399176,108959.354462687,530973.971820331
"589","STEC","65+","All Diseases","Deaths",1366159.98140537,351880.149777149,3845562.42746853
"590","STEC","65+","All Diseases","Direct",180061.322747044,108855.650882524,352760.878723105
"591","STEC","65+","All Diseases","FrictionHigh",90649.4451919548,31195.6837701207,385468.15238658
"592","STEC","65+","All Diseases","FrictionLow",33993.5419469831,11698.3814137953,144550.557144967
"593","STEC","65+","All Diseases","HumanCapital",113311.806489944,38994.6047126509,481835.190483225
"594","STEC","65+","All Diseases","WTP",96010.0446684107,44084.9191752462,220791.299571033
"595","STEC","65+","HUS","Deaths",972265.311196311,234512.880949247,3013975.16679008
"596","STEC","65+","HUS","Direct",83022.6721451815,34774.7996240471,212336.838714364
"597","STEC","65+","HUS","FrictionHigh",23993.0389075209,10064.2612803221,61849.7590613913
"598","STEC","65+","HUS","FrictionLow",8997.38959032032,3774.09798012078,23193.6596480217
"599","STEC","65+","HUS","HumanCapital",29991.2986344011,12580.3266004026,77312.1988267391
"600","STEC","65+","HUS","WTP",32003.8610223735,13118.6361903418,80819.0073804227
"601","STEC","65+","STEC","Deaths",175391.641026704,2538.82757906714,1688622.0751512
"602","STEC","65+","STEC","Direct",95836.1340897025,59684.0434588622,148914.814434859
"603","STEC","65+","STEC","FrictionHigh",63336.4372874984,16202.4308361315,350237.932087615
"604","STEC","65+","STEC","FrictionLow",23751.1639828119,6075.9115635493,131339.224532856
"605","STEC","65+","STEC","HumanCapital",79170.5466093731,20253.0385451643,437797.415109519
"606","STEC","65+","STEC","WTP",63375.0308305896,28647.3626731253,139312.412360001
"607","STEC","All Ages","All Diseases","Deaths",8885175.57240326,4936065.00395584,15081674.3490576
"608","STEC","All Ages","All Diseases","Direct",788731.583127977,422697.193941371,1709388.63379681
"609","STEC","All Ages","All Diseases","FrictionHigh",931189.368270818,417484.817855629,2131372.68693274
"610","STEC","All Ages","All Diseases","FrictionLow",349196.013101557,156556.806695861,799264.757599776
"611","STEC","All Ages","All Diseases","HumanCapital",1163986.71033852,521856.022319536,2664215.85866592
"612","STEC","All Ages","All Diseases","WTP",548790.207244565,248366.490829955,1244316.5071194
"613","STEC","All Ages","HUS","Deaths",7864819.94166026,4241028.69999377,13575055.8791374
"614","STEC","All Ages","HUS","Direct",475623.187212783,198792.630504388,1220276.27499846
"615","STEC","All Ages","HUS","FrictionHigh",291175.569707945,122138.217809034,750598.49235499
"616","STEC","All Ages","HUS","FrictionLow",109190.838640479,45801.8316783876,281474.434633121
"617","STEC","All Ages","HUS","HumanCapital",363969.462134932,152672.772261292,938248.115443737
"618","STEC","All Ages","HUS","WTP",183061.121230935,73669.7656981045,473936.486404409
"619","STEC","All Ages","STEC","Deaths",821235.326872696,115489.128222079,3141336.08289501
"620","STEC","All Ages","STEC","Direct",308218.20887603,205666.470725515,538514.955045694
"621","STEC","All Ages","STEC","FrictionHigh",627762.043755378,273424.842515456,1455112.85190254
"622","STEC","All Ages","STEC","FrictionLow",235410.766408267,102534.315943296,545667.319463454
"623","STEC","All Ages","STEC","HumanCapital",784702.554694222,341781.05314432,1818891.06487818
"624","STEC","All Ages","STEC","WTP",361578.361060533,162306.517282172,792111.205029517
"625","Toxoplasma gondii","<5","All Diseases","Deaths",64324.8548102815,545.559491822443,640631.132092986
"626","Toxoplasma gondii","<5","All Diseases","Direct",167351.932359037,87730.3053350031,276285.821239997
